,number,value,datetime_start,datetime_complete,duration,params_iterations,params_swarm_size,state
0,0,2.273633919521786,2022-03-24 17:11:34.033584,2022-03-24 17:11:35.060668,0 days 00:00:01.027084000,186.90714419444862,10.721180815328108,COMPLETE
1,1,2.3870025659810254,2022-03-24 17:11:35.061094,2022-03-24 17:11:36.279977,0 days 00:00:01.218883000,126.81531012755202,18.9973059145917,COMPLETE
2,2,2.2916308787588755,2022-03-24 17:11:36.280360,2022-03-24 17:11:37.597571,0 days 00:00:01.317211000,153.1183171639825,16.114139776882332,COMPLETE
3,3,2.306590121405552,2022-03-24 17:11:37.597940,2022-03-24 17:11:39.141444,0 days 00:00:01.543504000,194.67434867451522,15.599784164502132,COMPLETE
4,4,2.426993781732464,2022-03-24 17:11:39.141809,2022-03-24 17:11:42.435326,0 days 00:00:03.293517000,146.38574075423682,44.59903505383896,COMPLETE
5,5,2.2574564538063098,2022-03-24 17:11:42.435702,2022-03-24 17:11:47.993321,0 days 00:00:05.557619000,127.74180892881841,86.38844769393779,COMPLETE
6,6,2.315788661915,2022-03-24 17:11:47.993693,2022-03-24 17:11:53.452144,0 days 00:00:05.458451000,182.27359792677606,59.07470787775867,COMPLETE
7,7,2.1861864610786403,2022-03-24 17:11:53.452515,2022-03-24 17:11:54.792995,0 days 00:00:01.340480000,157.92067264413453,16.98545858558812,COMPLETE
8,8,2.480172065043517,2022-03-24 17:11:54.793373,2022-03-24 17:12:00.006638,0 days 00:00:05.213265000,117.16850290699023,87.59701889773068,COMPLETE
9,9,2.3872687645497757,2022-03-24 17:12:00.007197,2022-03-24 17:12:02.595388,0 days 00:00:02.588191000,106.70839859938472,46.558222934434895,COMPLETE
10,10,2.354676800654126,2022-03-24 17:12:02.595891,2022-03-24 17:12:07.800230,0 days 00:00:05.204339000,103.02176171401685,99.2381354261264,COMPLETE
11,11,2.306590121405552,2022-03-24 17:12:07.800678,2022-03-24 17:12:11.652493,0 days 00:00:03.851815000,135.0472219584304,55.781909342002656,COMPLETE
12,12,2.393564939393253,2022-03-24 17:12:11.652996,2022-03-24 17:12:18.078200,0 days 00:00:06.425204000,168.70483346726908,74.43631269489545,COMPLETE
13,13,2.360068110797506,2022-03-24 17:12:18.078656,2022-03-24 17:12:20.336074,0 days 00:00:02.257418000,117.25054064970102,37.41912654382338,COMPLETE
14,14,2.3803960015020493,2022-03-24 17:12:20.336475,2022-03-24 17:12:25.345140,0 days 00:00:05.008665000,140.51101341386172,69.2506520550337,COMPLETE
15,15,2.315788661915,2022-03-24 17:12:25.345548,2022-03-24 17:12:28.453217,0 days 00:00:03.107669000,166.83892923188606,35.66634911617251,COMPLETE
