,5896
Returns,0.2806753628109336
Standard Deviation,0.11533896560796839
Sortino Ratio,2.1230931066544607
ASIANPAINT Weight,0.05555944000279445
BAJFINANCE Weight,0.07005624696223213
BAJAJFINSV Weight,0.007236750138002167
BRITANNIA Weight,0.03623036405687753
DIVISLAB Weight,0.07488851594871136
GRASIM Weight,0.016901288110960627
HCLTECH Weight,0.007236750138002167
HDFCBANK Weight,0.07005624696223213
HINDALCO Weight,0.03623036405687753
HINDUNILVR Weight,0.05555944000279445
ICICIBANK Weight,0.031398095070398306
INFY Weight,0.07005624696223213
JSWSTEEL Weight,0.031398095070398306
LT Weight,0.016901288110960627
NESTLEIND Weight,0.06039170898927368
POWERGRID Weight,0.016901288110960627
RELIANCE Weight,0.016901288110960627
TCS Weight,0.031398095070398306
TATACONSUM Weight,0.06039170898927368
TATASTEEL Weight,0.045894902029835996
TECHM Weight,0.05555944000279445
TITAN Weight,0.07488851594871136
ULTRACEMCO Weight,0.045894902029835996
WIPRO Weight,0.012069019124481394
