,158
Returns,28.199999999999996
Semi Deviation,10.73312629199899
Sortino Ratio,2.293833066918534
ASIANPAINT Weight,1.6543985476799898
BAJFINANCE Weight,3.2713886671087203e-06
BAJAJFINSV Weight,8.707262233915255
BRITANNIA Weight,0.006930741161248222
DIVISLAB Weight,0.31145953095198703
GRASIM Weight,0.036065607324878915
HCLTECH Weight,13.839063590478121
HDFCBANK Weight,2.9005036469138306
HINDALCO Weight,0.04264367996057136
HINDUNILVR Weight,0.19521336211425505
ICICIBANK Weight,0.27091926316542864
INFY Weight,0.0005565936299507553
JSWSTEEL Weight,0.0008969142777736422
LT Weight,0.02559302427677708
NESTLEIND Weight,42.248410953834735
POWERGRID Weight,5.556872537192565
RELIANCE Weight,4.783098643802415
TCS Weight,1.9062865557336013
TATACONSUM Weight,17.281389359119135
TATASTEEL Weight,0.00013290475946073138
TECHM Weight,0.050356109210957116
TITAN Weight,0.12957429879381005
ULTRACEMCO Weight,0.018982271340490388
WIPRO Weight,0.03338635897408765
