,number,value,datetime_start,datetime_complete,duration,params_ANTS,params_EVA_RATE,params_ITERATIONS,params_Q,state
0,0,1.3626152894038492,2022-03-14 22:45:39.902218,2022-03-14 22:46:29.982393,0 days 00:00:50.080175000,86,0.391346882465207,422,0.7389685121706283,COMPLETE
1,1,1.349970844010038,2022-03-14 22:46:29.983174,2022-03-14 22:47:41.261291,0 days 00:01:11.278117000,364,0.5803289889640835,60,0.8245410368597308,COMPLETE
2,2,1.361049153671527,2022-03-14 22:47:41.262044,2022-03-14 22:52:32.639063,0 days 00:04:51.377019000,339,0.29378000308368174,279,0.5229209983371539,COMPLETE
3,3,1.3733082282763778,2022-03-14 22:52:32.639881,2022-03-14 22:52:46.418715,0 days 00:00:13.778834000,33,0.21043052010015867,409,0.4043870725965446,COMPLETE
4,4,1.335899119086225,2022-03-14 22:52:46.419436,2022-03-14 22:53:13.663924,0 days 00:00:27.244488000,194,0.4577896888822419,67,0.21874189394235646,COMPLETE
5,5,1.3979114251256535,2022-03-14 22:53:13.664362,2022-03-14 23:00:08.022403,0 days 00:06:54.358041000,354,0.13763571139879732,367,0.12186291996384974,COMPLETE
6,6,1.3296321498962367,2022-03-14 23:00:08.023214,2022-03-14 23:01:36.757270,0 days 00:01:28.734056000,339,0.9981426800587306,85,0.8466750992650142,COMPLETE
7,7,1.3884991596298284,2022-03-14 23:01:36.758057,2022-03-14 23:02:54.691290,0 days 00:01:17.933233000,115,0.35122864931167797,429,0.37008934204843247,COMPLETE
8,8,1.346788064282088,2022-03-14 23:02:54.692083,2022-03-14 23:04:14.967808,0 days 00:01:20.275725000,238,0.2388045803556629,141,0.742353697395568,COMPLETE
9,9,1.3938227324484822,2022-03-14 23:04:14.968620,2022-03-14 23:04:55.220317,0 days 00:00:40.251697000,145,0.1611532306100542,156,0.35495471574131165,COMPLETE
10,10,1.3889011818697177,2022-03-14 23:04:55.221063,2022-03-14 23:14:49.344628,0 days 00:09:54.123565000,482,0.6139957977382076,303,0.11062602745450853,COMPLETE
11,11,1.3727251147394097,2022-03-14 23:14:49.345407,2022-03-14 23:20:23.766797,0 days 00:05:34.421390000,456,0.13456468684175374,190,0.2591540584214417,COMPLETE
12,12,1.4029827129550956,2022-03-14 23:20:23.767596,2022-03-14 23:22:06.615202,0 days 00:01:42.847606000,161,0.11035004852921682,340,0.1207622137361686,COMPLETE
13,13,1.3869531619031306,2022-03-14 23:22:06.616017,2022-03-14 23:28:11.325694,0 days 00:06:04.709677000,277,0.7548353011503315,497,0.10316238903834496,COMPLETE
14,14,1.3695280583455078,2022-03-14 23:28:11.326506,2022-03-14 23:32:17.368304,0 days 00:04:06.041798000,266,0.10677467285805725,359,0.995820789450013,COMPLETE
15,15,1.383223336877071,2022-03-14 23:32:17.369122,2022-03-14 23:41:11.785428,0 days 00:08:54.416306000,432,0.7929166643816445,334,0.5319187826740774,COMPLETE
16,16,1.352627396640453,2022-03-14 23:41:11.786238,2022-03-14 23:42:35.766641,0 days 00:01:23.980403000,182,0.47080505465413347,229,0.22613572593849474,COMPLETE
17,17,1.3817559005458675,2022-03-14 23:42:35.767464,2022-03-14 23:50:33.963668,0 days 00:07:58.196204000,385,0.2786486692629784,367,0.17805572633714753,COMPLETE
18,18,1.373379160782806,2022-03-14 23:50:33.964481,2022-03-14 23:50:43.036481,0 days 00:00:09.072000000,20,0.1014496175752293,493,0.3229989522948108,COMPLETE
19,19,1.3463879801750587,2022-03-14 23:50:43.036972,2022-03-14 23:54:04.257379,0 days 00:03:21.220407000,299,0.7002581029910195,241,0.49040096043062664,COMPLETE
20,20,1.32903861361748,2022-03-14 23:54:04.258208,2022-03-14 23:56:41.149274,0 days 00:02:36.891066000,226,0.9033611754821638,302,0.6082021119201892,COMPLETE
21,21,1.3434257827818126,2022-03-14 23:56:41.150100,2022-03-14 23:57:20.277359,0 days 00:00:39.127259000,139,0.1896528919159031,162,0.3045588875097099,COMPLETE
22,22,1.2718690983099101,2022-03-14 23:57:20.278120,2022-03-14 23:57:21.104832,0 days 00:00:00.826712000,151,0.18795872805295716,3,0.4262869035786191,COMPLETE
23,23,1.3606929015819622,2022-03-14 23:57:21.105278,2022-03-14 23:57:33.756071,0 days 00:00:12.650793000,51,0.3790614190156083,218,0.15827491406625402,COMPLETE
24,24,1.3711193898072103,2022-03-14 23:57:33.756497,2022-03-14 23:57:47.613519,0 days 00:00:13.857022000,86,0.3089595156527203,117,0.2974416465698831,COMPLETE
25,25,1.4281903829371057,2022-03-14 23:57:47.614176,2022-03-14 23:59:34.696083,0 days 00:01:47.081907000,192,0.16775978776208145,267,0.20572743840091473,COMPLETE
26,26,1.3775364951670102,2022-03-14 23:59:34.696893,2022-03-15 00:01:23.567793,0 days 00:01:48.870900000,193,0.23363187622829698,267,0.16609902576747346,COMPLETE
27,27,1.3679703918376465,2022-03-15 00:01:23.568614,2022-03-15 00:06:40.477246,0 days 00:05:16.908632000,300,0.4804803659755638,376,0.10470619989714833,COMPLETE
28,28,1.3999967841302716,2022-03-15 00:06:40.478073,2022-03-15 00:14:26.164110,0 days 00:07:45.686037000,407,0.1015545616125681,323,0.2590389012355878,COMPLETE
29,29,1.368490777210591,2022-03-15 00:14:26.164934,2022-03-15 00:24:43.644885,0 days 00:10:17.479951000,407,0.406842688110471,428,0.23422145810472617,COMPLETE
30,30,1.3794750290916358,2022-03-15 00:24:43.645717,2022-03-15 00:27:16.112160,0 days 00:02:32.466443000,214,0.26688632862821343,320,0.6340339865870425,COMPLETE
31,31,1.3736453310691004,2022-03-15 00:27:16.112979,2022-03-15 00:39:09.042236,0 days 00:11:52.929257000,494,0.15261592938066154,349,0.17427269060366413,COMPLETE
32,32,1.3840976606681397,2022-03-15 00:39:09.043058,2022-03-15 00:46:59.266491,0 days 00:07:50.223433000,364,0.10590588683931969,397,0.24839170483229295,COMPLETE
33,33,1.3573121686846972,2022-03-15 00:46:59.267323,2022-03-15 00:54:16.697083,0 days 00:07:17.429760000,421,0.1738287129680267,286,0.16194638661508082,COMPLETE
34,34,1.3916562125411587,2022-03-15 00:54:16.697914,2022-03-15 01:01:18.655716,0 days 00:07:01.957802000,314,0.30504170666924424,464,0.2778696479791262,COMPLETE
35,35,1.3536282312411347,2022-03-15 01:01:18.656527,2022-03-15 01:06:05.391003,0 days 00:04:46.734476000,344,0.23424848275728763,269,0.4215274001863006,COMPLETE
36,36,1.3970505379717004,2022-03-15 01:06:05.391848,2022-03-15 01:06:53.722374,0 days 00:00:48.330526000,88,0.3446492692457259,395,0.19711054282632068,COMPLETE
37,37,1.3752301188445102,2022-03-15 01:06:53.722878,2022-03-15 01:14:05.004119,0 days 00:07:11.281241000,387,0.2088187950166465,327,0.4606361624441292,COMPLETE
38,38,1.3708036209649428,2022-03-15 01:14:05.004950,2022-03-15 01:16:44.158526,0 days 00:02:39.153576000,179,0.1508646451970745,446,0.1527990792691597,COMPLETE
39,39,1.353655563589021,2022-03-15 01:16:44.159352,2022-03-15 01:19:01.850812,0 days 00:02:17.691460000,254,0.2606437449162464,215,0.35455425273195773,COMPLETE
40,40,1.3764274199079265,2022-03-15 01:19:01.851614,2022-03-15 01:21:23.229123,0 days 00:02:21.377509000,211,0.60431415090396,303,0.13152508380751535,COMPLETE
41,41,1.388701534900302,2022-03-15 01:21:23.229924,2022-03-15 01:22:10.293654,0 days 00:00:47.063730000,89,0.3344692931217775,379,0.20397294183107942,COMPLETE
42,42,1.3651058834487506,2022-03-15 01:22:10.294480,2022-03-15 01:22:39.806630,0 days 00:00:29.512150000,61,0.407125341158481,402,0.20681002314658214,COMPLETE
43,43,1.382678416014043,2022-03-15 01:22:39.807102,2022-03-15 01:23:44.033324,0 days 00:01:04.226222000,119,0.5229836630319689,339,0.2632261498846323,COMPLETE
44,44,1.3924818082255874,2022-03-15 01:23:44.034025,2022-03-15 01:24:49.760861,0 days 00:01:05.726836000,109,0.13843597810591993,391,0.20686740919125812,COMPLETE
45,45,1.3793530409031,2022-03-15 01:24:49.761689,2022-03-15 01:26:07.041273,0 days 00:01:17.279584000,161,0.20666525108888428,252,0.12992132932889575,COMPLETE
46,46,1.391487516906677,2022-03-15 01:26:07.042107,2022-03-15 01:38:23.091034,0 days 00:12:16.048927000,454,0.10025884139769059,421,0.334106581276747,COMPLETE
47,47,1.3597602088655434,2022-03-15 01:38:23.091862,2022-03-15 01:41:54.142207,0 days 00:03:31.050345000,242,0.14883466080216398,361,0.9421494685180664,COMPLETE
48,48,1.3629626783747024,2022-03-15 01:41:54.143017,2022-03-15 01:42:53.284619,0 days 00:00:59.141602000,120,0.23740583807106266,307,0.10538475502916383,COMPLETE
49,49,1.3800116775496394,2022-03-15 01:42:53.285436,2022-03-15 01:43:26.545323,0 days 00:00:33.259887000,61,0.17143587146728057,451,0.38651861525368847,COMPLETE
50,50,1.395593587058638,2022-03-15 01:43:26.546066,2022-03-15 01:51:59.777486,0 days 00:08:33.231420000,458,0.36674959620551895,289,0.1903236199204029,COMPLETE
51,51,1.361105556640701,2022-03-15 01:51:59.778303,2022-03-15 02:00:16.828305,0 days 00:08:17.050002000,463,0.34418216553845393,275,0.19651255941897722,COMPLETE
52,52,1.384204124936006,2022-03-15 02:00:16.829148,2022-03-15 02:09:37.140136,0 days 00:09:20.310988000,435,0.4406811058504609,347,0.2866169185251947,COMPLETE
53,53,1.3679208335405915,2022-03-15 02:09:37.140952,2022-03-15 02:14:05.955421,0 days 00:04:28.814469000,400,0.13193035296412375,192,0.23039519805186254,COMPLETE
54,54,1.3897227081221901,2022-03-15 02:14:05.956275,2022-03-15 02:20:16.743956,0 days 00:06:10.787681000,363,0.280614827069254,315,0.15037267635986137,COMPLETE
55,55,1.3494793765130628,2022-03-15 02:20:16.744800,2022-03-15 02:21:48.449094,0 days 00:01:31.704294000,165,0.5362021906896394,292,0.7577393350545664,COMPLETE
56,56,1.4109304446591608,2022-03-15 02:21:48.449864,2022-03-15 02:32:07.151129,0 days 00:10:18.701265000,473,0.38023778262181895,328,0.25032099192511836,COMPLETE
57,57,1.378787307220175,2022-03-15 02:32:07.151989,2022-03-15 02:44:54.288716,0 days 00:12:47.136727000,491,0.19852283984894184,381,0.2553669839649923,COMPLETE
58,58,1.4031563862329224,2022-03-15 02:44:54.289542,2022-03-15 02:56:07.364215,0 days 00:11:13.074673000,437,0.6813254559769009,413,0.12718544197024478,COMPLETE
59,59,1.36424126077175,2022-03-15 02:56:07.365066,2022-03-15 03:04:01.550932,0 days 00:07:54.185866000,472,0.700259675082424,253,0.13189446445181452,COMPLETE
60,60,1.3579073471849938,2022-03-15 03:04:01.551796,2022-03-15 03:14:56.657818,0 days 00:10:55.106022000,431,0.809623754750312,413,0.32060679234197853,COMPLETE
61,61,1.3605992414723345,2022-03-15 03:14:56.658663,2022-03-15 03:24:57.084033,0 days 00:10:00.425370000,443,0.6795185550347573,358,0.1012312852908725,COMPLETE
62,62,1.380725860376988,2022-03-15 03:24:57.084878,2022-03-15 03:32:46.533309,0 days 00:07:49.448431000,404,0.6613827462468329,331,0.23100416363548926,COMPLETE
63,63,1.358029374720691,2022-03-15 03:32:46.534152,2022-03-15 03:46:59.901612,0 days 00:14:13.367460000,480,0.58787996684967,441,0.18234371369472424,COMPLETE
64,64,1.3354564888232014,2022-03-15 03:46:59.902433,2022-03-15 03:56:23.115669,0 days 00:09:23.213236000,419,0.8897253937348146,372,0.5924886321333682,COMPLETE
65,65,1.3581671957856927,2022-03-15 03:56:23.116521,2022-03-15 03:56:26.280445,0 days 00:00:03.163924000,8,0.5024835304139549,474,0.13590322403211635,COMPLETE
66,66,1.3771857347414458,2022-03-15 03:56:26.281205,2022-03-15 04:04:12.754575,0 days 00:07:46.473370000,365,0.12076942315552228,393,0.6850166363328428,COMPLETE
67,67,1.3780465374721773,2022-03-15 04:04:12.755448,2022-03-15 04:08:28.732618,0 days 00:04:15.977170000,278,0.7508139856728177,347,0.17650273633416289,COMPLETE
68,68,1.3749543457226467,2022-03-15 04:08:28.733468,2022-03-15 04:17:32.758210,0 days 00:09:04.024742000,388,0.43337548128838793,413,0.2729905637681055,COMPLETE
69,69,1.396087943615501,2022-03-15 04:17:32.759031,2022-03-15 04:18:50.719889,0 days 00:01:17.960858000,139,0.5598357182951388,324,0.2262999344711427,COMPLETE
70,70,1.414721690816772,2022-03-15 04:18:50.720744,2022-03-15 04:24:32.969196,0 days 00:05:42.248452000,323,0.3265102446390759,357,0.30432277256345214,COMPLETE
71,71,1.3950355204863925,2022-03-15 04:24:32.970113,2022-03-15 04:30:27.677082,0 days 00:05:54.706969000,327,0.326263785652129,362,0.3084280927077306,COMPLETE
72,72,1.3764454376267452,2022-03-15 04:30:27.677952,2022-03-15 04:36:11.767144,0 days 00:05:44.089192000,335,0.17127632941467139,337,0.15039237484978088,COMPLETE
73,73,1.3976722515513458,2022-03-15 04:36:11.768016,2022-03-15 04:43:20.497485,0 days 00:07:08.729469000,353,0.24636912174418227,383,0.3495899384417494,COMPLETE
74,74,1.37686699520404,2022-03-15 04:43:20.498343,2022-03-15 04:49:14.278884,0 days 00:05:53.780541000,349,0.25316553303459777,317,0.4027950546130728,COMPLETE
75,75,1.3887301801854122,2022-03-15 04:49:14.279740,2022-03-15 04:54:19.424451,0 days 00:05:05.144711000,294,0.20898253414397142,375,0.35279249279407315,COMPLETE
76,76,1.3556574843061628,2022-03-15 04:54:19.425321,2022-03-15 04:59:28.928587,0 days 00:05:09.503266000,310,0.2993508726297226,348,0.48390985594485236,COMPLETE
77,77,1.380109706179958,2022-03-15 04:59:28.929433,2022-03-15 05:08:00.529429,0 days 00:08:31.599996000,365,0.1185966933856602,430,0.2931570779494075,COMPLETE
78,78,1.3666346653891634,2022-03-15 05:08:00.530319,2022-03-15 05:14:18.847930,0 days 00:06:18.317611000,380,0.1857154813755954,297,0.2528185145471428,COMPLETE
79,79,1.374265689512393,2022-03-15 05:14:18.848813,2022-03-15 05:21:18.258879,0 days 00:06:59.410066000,418,0.15871216451712253,278,0.12299025155916814,COMPLETE
80,80,1.3673054981614015,2022-03-15 05:21:18.259733,2022-03-15 05:24:19.977056,0 days 00:03:01.717323000,213,0.2398242989883013,384,0.33583239170485546,COMPLETE
81,81,1.3825558184891564,2022-03-15 05:24:19.977931,2022-03-15 05:27:07.445533,0 days 00:02:47.467602000,194,0.3833506067885448,412,0.21722456897002196,COMPLETE
82,82,1.3989983823098089,2022-03-15 05:27:07.446390,2022-03-15 05:32:52.681242,0 days 00:05:45.234852000,322,0.35738314138347754,363,0.1610510385515743,COMPLETE
83,83,1.3579241605789178,2022-03-15 05:32:52.682118,2022-03-15 05:38:41.368765,0 days 00:05:48.686647000,324,0.22073813981919185,362,0.14112154596703017,COMPLETE
84,84,1.3818543938522239,2022-03-15 05:38:41.369690,2022-03-15 05:42:29.430784,0 days 00:03:48.061094000,276,0.2799492937904163,313,0.16089615095854787,COMPLETE
85,85,1.3734143094535127,2022-03-15 05:42:29.431663,2022-03-15 05:49:49.909562,0 days 00:07:20.477899000,349,0.31440498106681014,401,0.1806810990169993,COMPLETE
