,63754
Returns,0.271041990602235
Standard Deviation,0.10902751450675328
Sortino Ratio,2.1576387544601308
ASIANPAINT Weight,0.0640455798894062
BAJFINANCE Weight,0.026682524769701947
BAJAJFINSV Weight,0.040693670439591045
BRITANNIA Weight,0.03602328854962801
DIVISLAB Weight,0.04536405232955407
GRASIM Weight,0.017341760989775884
HCLTECH Weight,0.008000997209849817
HDFCBANK Weight,0.012671379099812849
HINDALCO Weight,0.031352906659664975
HINDUNILVR Weight,0.05937519799944317
ICICIBANK Weight,0.022012142879738916
INFY Weight,0.04536405232955407
JSWSTEEL Weight,0.008000997209849817
LT Weight,0.03602328854962801
NESTLEIND Weight,0.06871596177936923
POWERGRID Weight,0.012671379099812849
RELIANCE Weight,0.07338634366933226
TCS Weight,0.06871596177936923
TATACONSUM Weight,0.05937519799944317
TATASTEEL Weight,0.022012142879738916
TECHM Weight,0.040693670439591045
TITAN Weight,0.07338634366933226
ULTRACEMCO Weight,0.05937519799944317
WIPRO Weight,0.06871596177936923
